what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1398677857368
closed,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1398677857384
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.core,1398677863285
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1398677863294
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1398677863352
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677863604
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1398677868630
started,bundle,org.eclipse.cdt.make.core,5.0.1.200809120802,org.eclipse.cdt.make.core,1398677868647
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1398677868806
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1398677868977
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677869580
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398677869946
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1398677871404
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1398677871636
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677874164
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677876950
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398677877543
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1398677877673
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1398677877677
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398677877684
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1398677879312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677887372
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677890534
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677892391
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398677940356
