what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398771469039
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398771472549
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1398771472779
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771473059
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771473599
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398771474709
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398771484470
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398771490741
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398771502872
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1398771508013
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771509133
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771576530
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771577890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771621417
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1398771624050
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771628578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771647572
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771648368
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771757730
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1398771758261
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771769270
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771805434
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771809386
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771953435
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1398771954893
